#scientific name	type materials and coidentical strains	has sequences from type material?	number of assemblies per taxon	number of assemblies from type materials per taxon	number of assemblies from type materials per species
Brachyspira pilosicoli	ATCC 51139,ATCC:51139,P43/6/78	yes	20	1	1
Brachyspira suanatina	AN4859/03,ATCC BAA-2592,ATCC:BAA-2592,DSM 100974,DSM:100974,culture-collection:ATCC:BAA:2592	yes	1	1	1
Brackiella oedipodis	BCCM/LMG:19451,CCUG 47103,CCUG:47103,DSM 13743,DSM:13743,LMG 19451,LMG:19451,NCIMB 13739,NCIMB:13739	yes	1	1	1
Bradymonas sediminis	CICC 10904,CICC:10904,DSM 28820,DSM:28820,FA350	yes	2	2	2
Bradyrhizobium algeriense	BCCM/LMG:27618,CECT 8363,CECT:8363,LMG 27618,LMG:27618,RST89,RTS89	yes	2	0	0
Bradyrhizobium americanum	BCCM/LMG:29514,CECT 9096,CECT:9096,CMVU44,LMG 29514,LMG:29514	yes	0	0	0
Bradyrhizobium amphicarpaeae	39S1MB,BCCM/LMG:29934,HAMBI 3680,HAMBI:3680,LMG 29934,LMG:29934	yes	1	1	1
Bradyrhizobium arachidis	BCCM/LMG:26795,CCBAU 051107,CCBAU:051107,CGMCC 1.12100,CGMCC:1.12100,HAMBI 3281,HAMBI:3281,LMG 26795,LMG:26795	yes	3	1	1
Bradyrhizobium betae	BCCM/LMG:21987,CECT 5829,CECT:5829,LMG 21987,LMG:21987,NBRC 103048,NBRC:103048,PL7HG1	yes	2	1	1
Bradyrhizobium brasilense	BCCM/LMG:29353,CBAS:645,LMG 29353,LMG:29353,UFLA03-321	yes	1	0	0
Bradyrhizobium cajani	AMBPC1010,BCCM/LMG:29967,CECT 9227,CECT:9227,LMG 29967,LMG:29967	yes	1	0	0
Bradyrhizobium campsiandrae	BCCM/LMG:10099,INPA 394B,INPA:394B,LMG 10099,LMG:10099,UFLA 01-1174	yes	2	1	1
Bradyrhizobium canariense	ATCC BAA-1002,ATCC:BAA-1002,BCCM/LMG:22265,BTA-1,CFNE 1008,CFNE:1008,LMG 22265,LMG:22265,NBRC 103049,NBRC:103049,culture-collection:ATCC:BAA:1002	yes	15	0	0
Bradyrhizobium centrolobii	BR 10245,HAMBI:3597	yes	1	1	1
Bradyrhizobium centrosematis	A9,BCCM/LMG:29515,CECT 9095,CECT:9095,LMG 29515,LMG:29515	yes	0	0	0
Bradyrhizobium cosmicum	58S1,BCCM/LMG:31545,HAMBI 3725,HAMBI:3725,LMG 31545,LMG:31545	yes	2	1	1
Bradyrhizobium cytisi	BCCM/LMG:25866,CECT 7749,CECT:7749,CTAW11,LMG 25866,LMG:25866	yes	1	1	1
Bradyrhizobium daqingense	BCCM/LMG:26137,CCBAU 15774,CCBAU:15774,CGMCC 1.10947,CGMCC:1.10947,HAMBI 3184,HAMBI:3184,LMG 26137,LMG:26137	yes	1	1	1
Bradyrhizobium denitrificans	ATCC 43295,ATCC:43295,BCCM/LMG:8443,DSM 1113,DSM:1113,HAMBI 2266,HAMBI:2266,IFAM 1005,IFAM:1005,LMG 8443,LMG:8443,VKM B-2062,VKM:B-2062,culture-collection:VKM:B:2062	yes	0	0	0
Bradyrhizobium diazoefficiens	3I1B110,ACCC 15034,ACCC:15034,BCRC 13528,BCRC:13528,CCRC 13528,CCRC:13528,CCT 4249,CCT:4249,CNPSo 46,IAM 13628,IAM:13628,IFO 14792,IFO:14792,JCM 10833,JCM:10833,NBRC 14792,NBRC:14792,NRRL B-4361,NRRL B-4450,NRRL:B-4361,NRRL:B-4450,R-12974,R:12974,SEMIA 5032,SEMIA:5032,TAL 102,TAL:102,TISTR 339,TISTR:339,USDA 110,USDA:110,culture-collection:NRRL:B:4361,culture-collection:NRRL:B:4450	yes	17	2	2
Bradyrhizobium elkanii	ATCC 49852,ATCC:49852,BCCM/LMG:6134,DSM 11554,DSM:11554,IFO 14791,IFO:14791,LMG 6134,LMG:6134,NBRC 14791,NBRC:14791,USDA 76,USDA:76	yes	17	2	2
Bradyrhizobium embrapense	BCCM/LMG:2987,BR 2212,BR:2212,CIAT 2372,CIAT:2372,CNPSo 2833,LMG 2987,LMG:2987,SEMIA 6208,SEMIA:6208,U674,U:674	yes	1	1	1
Bradyrhizobium erythrophlei	BCCM/LMG:28425,CCBAU 53325,CCBAU:53325,CGMCC 1.1300,CGMCC:1.1300,CGMCC:1.13002,HAMBI 3614,HAMBI:3614,LMG 28425,LMG:28425	yes	5	0	0
Bradyrhizobium ferriligni	CCBAU 51502,CCBAU:51502,CGMCC 1.13001,CGMCC:1.13001,HAMBI 3613,HAMBI:3613	yes	0	0	0
Bradyrhizobium forestalis	BCCM/LMG:10044,INPA54B,LMG 10044,LMG:10044	yes	1	1	1
Bradyrhizobium ganzhouense	CCBAU 101088,CCBAU:101088,JCM 19881,JCM:19881,RITF806	yes	0	0	0
Bradyrhizobium guangdongense	BCCM/LMG:28620,CCBAU 51649,CGMCC 1.15034,CGMCC:1.15034,LMG 28620,LMG:28620	yes	5	2	2
Bradyrhizobium guangxiense	BCCM/LMG:28621,CCBAU 53363,CCBAU:53363,CGMCC 1.15035,CGMCC:1.15035,LMG 28621,LMG:28621	yes	1	1	1
Bradyrhizobium guangzhouense	BCCM/LMG:29280,CCBAU 51670,CCBAU:51670,HAMBI 3650,HAMBI:3650,LMG 29280,LMG:29280	yes	3	1	1
Bradyrhizobium huanghuaihaiense	BCCM/LMG:26136,CCBAU 23303,CCBAU:23303,CGMCC 1.10948,CGMCC:1.10948,HAMBI 3180,HAMBI:3180,LMG 26136,LMG:26136	yes	1	1	1
Bradyrhizobium icense	CECT 8509,CECT:8509,CNPSo 2583,HAMBI 3584,HAMBI:3584,LMTR 13	yes	2	1	1
Bradyrhizobium ingae	BR 10250,HAMBI 3600,HAMBI:3600	yes	0	0	0
Bradyrhizobium iriomotense	BCCM/LMG:24129,EK05,LMG 24129,LMG:24129,NBRC 102520,NBRC:102520	yes	0	0	0
Bradyrhizobium ivorense	CCMM B1296,CCMM:B1296,CCOS 1862,CCOS:1862,CCOS&lt;CHE&gt;:1862,CI-1B,CI:1B	yes	2	1	1
Bradyrhizobium japonicum	ATCC 10324,ATCC:10324,BCCM/LMG:6138,CCUG 27876,CCUG:27876,CIP 106093,CIP:106093,DSM 30131,DSM:30131,DSMZ 30131,HAMBI 2314,HAMBI:2314,IFO 14783,IFO:14783,JCM 20679,JCM:20679,LMG 6138,LMG:6138,NBRC 14783,NBRC:14783,NRRL B-4507,NRRL L-241,NRRL:B-4507,NRRL:L-241,NRRL:L:241,USDA 6,USDA:6,VKM B-1967,VKM:B-1967,culture-collection:NRRL:B:4507,culture-collection:VKM:B:1967	yes	22	3	3
Bradyrhizobium jicamae	BCCM/LMG:24556,CECT 7395,CECT:7395,LMG 24556,LMG:24556,PAC68	yes	1	1	1
Bradyrhizobium kavangense	14-3,BCCM/LMG:28790,DSM 100299,DSM:100299,LMG 28790,LMG:28790,NTCCM 0012,NTCCM0012 (Windhoek)	yes	0	0	0
Bradyrhizobium lablabi	BCCM/LMG:25572,CCBAU 23086,CCBAU:23086,HAMBI 3052,HAMBI:3052,LMG 25572,LMG:25572	yes	5	1	1
Bradyrhizobium liaoningense	2281,ATCC 700350,ATCC:700350,BCCM/LMG:18230,CIP 104858,CIP:104858,LMG 18230,LMG:18230,NBRC 100396,NBRC:100396	yes	3	0	0
Bradyrhizobium lupini	ATCC 10319 [[Rhizobium lupini]],ATCC:10319 [[Rhizobium lupini]],BCCM/LMG:28514,CECT 8630,CECT:8630,DSM 30140 [[Rhizobium lupini]],DSM:30140 [[Rhizobium lupini]],LMG 28514,LMG:28514,NBRC 100381 [[Rhizobium lupini]],NBRC:100381 [[Rhizobium lupini]],USDA 3051,USDA:3051,VKM B-1965 [[Rhizobium lupini]],VKM:B-1965 [[Rhizobium lupini]],culture-collection:VKM:B:1965 [[Rhizobium lupini]]	yes	2	1	1
Bradyrhizobium macuxiense	BR 10303,HAMBI:3602	yes	2	1	1
Bradyrhizobium manausense	BR 3351,HAMBI 3596,HAMBI:3596	yes	1	1	1
Bradyrhizobium mercantei	BCCM/LMG:30031,BR 6010,BR:6010,CNPSo 1165,LMG 30031,LMG:30031,SEMIA 6399,U675,U:675	yes	1	1	1
Bradyrhizobium namibiense	5-10,BCCM/LMG:28789,DSM 100300,DSM:100300,LMG 28789,LMG:28789,NTCCM 0017,NTCCM0017 (Windhoek),NTCCM:0017 (Windhoek)	yes	0	0	0
Bradyrhizobium nanningense	BCCM/LMG:29278,CCBAU 53390,CCBAU:53390,HAMBI 3651,HAMBI:3651,LMG 29278,LMG:29278	yes	2	1	1
Bradyrhizobium neotropicale	BR 10247,HAMBI 3599,HAMBI:3599	yes	1	1	1
Bradyrhizobium nitroreducens	JCM 18858,JCM:18858,KCTC 62391,KCTC:62391,TSA1,TSA12	yes	1	1	1
Bradyrhizobium oligotrophicum	ATCC 43045,ATCC:43045,BCCM/LMG:10732,JCM 1494,JCM:1494,LMG 10732,LMG:10732,S58	yes	1	1	1
Bradyrhizobium ottawaense	BCCM/LMG:26739,HAMBI 3284,HAMBI:3284,LMG 26739,LMG:26739,OO99	yes	4	1	1
Bradyrhizobium pachyrhizi	BCCM/LMG:24246,CECT 7396,CECT:7396,LMG 24246,LMG:24246,PAC 48,PAC48	yes	3	1	1
Bradyrhizobium paxllaeri	DSM 18454,DSM:18454,HAMBI 2911,HAMBI:2911,LMTR 21	yes	1	1	1
Bradyrhizobium retamae	BCCM/LMG:27393,CECT 8261,CECT:8261,LMG 27393,LMG:27393,Ro19	yes	1	1	1
Bradyrhizobium rifense	BCCM/LMG:26781,CECT 8066,CECT:8066,CTAW71,LMG 26781,LMG:26781	yes	1	1	1
Bradyrhizobium ripae	BCCM/LMG:30283,DSM 105795,DSM:105795,LMG 30283,LMG:30283,NTCCM 0019 (Windhoek),NTCCM:0019 (Windhoek),WR4	yes	0	0	0
Bradyrhizobium sacchari	BR 10280,HAMBI:3667	yes	3	1	1
Bradyrhizobium shewense	BCCM/LMG:30162,ERR11,HAMBI 3532,HAMBI:3532,LMG 30162,LMG:30162	yes	1	1	1
Bradyrhizobium stylosanthis	BR 446,CNPSo 2823,H-8,HAMBI 3668,HAMBI:3668	yes	2	1	1
Bradyrhizobium subterraneum	58 2-1,BCCM/LMG:28792,DSM 100298,DSM:100298,LMG 28792,LMG:28792,NTCCM 0016,NTCCM0016T,NTCCM:0016,NTCCM:0016 (Windhoek)	yes	0	0	0
Bradyrhizobium symbiodeficiens	85S1MB,BCCM/LMG:29937,HAMBI 3684,HAMBI:3684,LMG 29937,LMG:29937	yes	4	1	1
Bradyrhizobium tropiciagri	BCCM/LMG:28867,BR 1009,BR:1009,CNPSo 1112,LMG 28867,LMG:28867,SEMIA 6148,SEMIA:6148,SMS 303,SMS:303	yes	1	1	1
Bradyrhizobium uaiense	BCCM/LMG:31509,LMG 31509,LMG:31509,UFLA03-164	yes	1	0	0
Bradyrhizobium valentinum	BCCM/LMG:2761,CECT 8364,CECT:8364,LMG 2761,LMG:2761,LmjM3	yes	2	1	1
Bradyrhizobium vignae	7-2,BCCM/LMG:28791,DSM 100297,DSM:100297,LMG 28791,LMG:28791,NTCCM 0018,NTCCM0018 (Windhoek),NTCCM:0018 (Windhoek)	yes	2	1	1
Bradyrhizobium viridifuturi	BCCM/LMG:28866,BR 1804,BR:1804,C 100a,C:100a,CNPSo 991,LMG 28866,LMG:28866,SEMIA 690	yes	1	1	1
Bradyrhizobium yuanmingense	CCBAU 10071,CCBAU:10071,CFNEB 101,CFNEB:101,CIP 108027,CIP:108027,NBRC 100594,NBRC:100594	yes	8	1	1
Bradyrhizobium zhanjiangense	BCCM/LMG:29279,CCBAU 51778,CCBAU:51778,HAMBI 3648,HAMBI:3648,LMG 29279,LMG:29279	yes	4	1	1
Branchiibius cervicis	DSM 24166,DSM:24166,NBRC 106593,NBRC:106593,PAGU 1247	yes	0	0	0
Branchiibius hedensis	DSM 22951,DSM:22951,Mer 29717,NBRC 106121,NBRC:106121	yes	2	2	2
Brasilonema angustatum	HA4187-MV1	yes	0	0	0
Brasilonema bromeliae	SPC951	yes	1	1	1
Brasilonema burkei	HA4348-LM4	yes	0	0	0
Brasilonema lichenoides	168/2015,CDV2	yes	0	0	0
Brasilonema octagenarum	UFV-E1	yes	2	1	1
Brasilonema sennae	CENA114,CENA:114	yes	1	1	1
Brasilonema terrestre	CENA116,CENA:116	yes	0	0	0
Brasilonema tolantongensis	Tolantongo	yes	0	0	0
Brassicibacter mesophilus	BM,DSM 24659,DSM:24659,JCM 16868,JCM:16868	yes	0	0	0
Brassicibacter thermophilus	CGMCC 1.5200,CGMCC:1.5200,Cel2f,JCM 30480,JCM:30480	yes	0	0	0
Bremerella volcania	BCCM/LMG:29460,DSM 101992,DSM:101992,LMG 29460,LMG:29460,Pan97	yes	1	1	1
Brenneria alni	ATCC 700181,ATCC:700181,CCUG 48887,CCUG:48887,CIP 104916,CIP:104916,DSM 11811,DSM:11811,ICMP 12481,ICMP:12481,NCPPB 3934,NCPPB:3934,PVFi 20	yes	1	1	1
Brenneria goodwinii	BCC 845,BCC&lt;THA&gt;:845,BCCM/LMG:26270,FRB 141,FRB:141,LMG 26270,LMG:26270,NCPPB 4484,NCPPB:4484,R-43656,culture-collection:BCC:845	yes	4	2	2
Brenneria nigrifluens	ATCC 13028,ATCC:13028,BCCM/LMG:2694,CCUG 48853,CCUG:48853,CFBP 3616,CFBP 4998,CFBP:3616,CFBP:4998,CIP 105198,CIP:105198,DSM 30175,DSM:30175,LMG 2694,LMG:2694,NCPPB 564,NCPPB:564	yes	2	2	2
Brenneria populi Li et al. 2015	CFCC 11963,CFCC:11963,D9-5,KCTC 42088,KCTC:42088	yes	0	0	0
Brenneria populi subsp. brevivirga	CFCC 11935,CFCC:11935,D8-10-4-5,KCTC 42841,KCTC:42841	yes	0	0	0
Brenneria roseae	BCCM/LMG:27714,FRB 222,LMG 27714,LMG:27714,NCPPB 4581,NCPPB:4581	yes	1	1	2
Brenneria roseae subsp. americana	BCCM/LMG:27715,FRB 223,LMG 27715,LMG:27715,NCPPB 4582,NCPPB:4582	yes	1	1	2
Brenneria rubrifaciens	ATCC 29291,ATCC:29291,BCCM/LMG:2709,CCUG 48854,CCUG:48854,CFBP 3619,CFBP:3619,CIP 105203,CIP:105203,DSM 4483,DSM:4483,ICMP 1915,ICMP:1915,LMG 2709,LMG:2709,NCPPB 2020,NCPPB:2020	yes	1	0	0
Brenneria salicis	ATCC 15712,ATCC:15712,BCCM/LMG:2698,CCUG 48855,CCUG:48855,CFBP 802,CFBP:802,CIP 105204,CIP:105204,DSM 30166,DSM:30166,ICMP 1587,ICMP:1587,LMG 2698,LMG:2698,NCPPB 447,NCPPB:447	yes	3	3	3
Breoghania corrubedonensis	BCCM/LMG:25482,CECT 7622,CECT:7622,DSM 23382,DSM:23382,LMG 25482,LMG:25482,UBF-P1	yes	1	1	1
Brevefilum fermentans	na	no	1	0	0
Brevibacillus agri	ATCC 51360 [[Bacillus galactophilus Takagi et al. 1993]],ATCC 51663,ATCC:51360 [[Bacillus galactophilus Takagi et al. 1993]],ATCC:51663,BCCM/LMG:15103,CCUG 31345,CCUG:31345,CIP 104002,CIP:104002,DSM 6348,DSM:6348,IFO 15538,IFO:15538,JCM 9067,JCM:9067,LMG 15103,LMG:15103,NBRC 15538,NBRC:15538,NRRL NRS-1219,NRRL:NRS-1219,culture-collection:NRRL:NRS:1219	yes	5	3	3
Brevibacillus antibioticus	FBCC-B2501,FBCC-B:2501,KCCM 90326,KCCM:90326,NBRC 113840,NBRC:113840,TGS2-1	yes	1	1	1
Brevibacillus aydinogluensis	BCCM/LMG:26289,DSM 24395,DSM:24395,LMG 26289,LMG:26289,PDF25	yes	0	0	0
Brevibacillus borstelensis	ATCC 51668,ATCC:51668,BCCM/LMG:16009,CIP 104545,CIP:104545,DSM 6347,DSM:6347,IFO 15714,IFO:15714,JCM 9022,JCM:9022,LMG 16009,LMG:16009,NBRC 15714,NBRC:15714,NRRL NRS-818,NRRL:NRS-818,culture-collection:NRRL:NRS:818	yes	8	2	2
Brevibacillus brevis	ATCC 8246,ATCC:8246,BCCM/LMG:16703,BCCM/LMG:7123,BCRC 14682,BCRC:14682,CCM 2050,CCM:2050,CCRC 14682,CCRC:14682,CCUG 7413,CCUG:7413,CIP 52.86,CIP:52.86,DSM 30,DSM:30,HAMBI 1883,HAMBI:1883,IFO 15304,IFO:15304,JCM 2503,JCM:2503,LMG 16703,LMG 7123,LMG:16703,LMG:7123,NBRC 15304,NBRC:15304,NCCB 48009,NCCB:48009,NCIB 9372,NCIMB 9372,NCIMB:9372,NCTC 2611,NCTC:2611,NRRL B-14602,NRRL NRS-604,NRRL:B-14602,NRRL:NRS-604,VKM B-503,VKM:B-503,culture-collection:NRRL:B:14602,culture-collection:NRRL:NRS:604,culture-collection:VKM:B:503	yes	14	4	4
Brevibacillus centrosporus	ATCC 51661,ATCC:51661,BCCM/LMG:15106,CCUG 31347,CCUG:31347,CIP 104003,CIP:104003,DSM 8445,DSM:8445,IFO 15540,IFO:15540,JCM 9071,JCM:9071,LMG 15106,LMG:15106,NBRC 15540,NBRC:15540,NRRL NRS-664,NRRL:NRS-664,culture-collection:NRRL:NRS:664	yes	3	2	2
Brevibacillus choshinensis	ATCC 51359,ATCC:51359,BCCM/LMG:15968,CIP 103838,CIP:103838,DSM 8552,DSM:8552,HPD52,IFO 15518,IFO:15518,JCM 8505,JCM:8505,LMG 15968,LMG:15968,NBRC 15518,NBRC:15518,NCIMB 13345,NCIMB:13345,NRRL B-23247,NRRL:B-23247,culture-collection:NRRL:B:23247	yes	1	1	1
Brevibacillus fluminis	CJ71,JCM 15716,JCM:15716,KACC 13381,KACC:13381	yes	1	1	1
Brevibacillus formosus	ATCC 51669,ATCC:51669,BCCM/LMG:16010,CIP 104544,CIP:104544,DSM 9885,DSM:9885,F12,IFO 15716,IFO:15716,JCM 9169,JCM:9169,LMG 16010,LMG:16010,NBRC 15716,NBRC:15716,NRRL NRS-863,NRRL:NRS-863,culture-collection:NRRL:NRS:863	yes	4	3	3
Brevibacillus fortis	ATCC 51666,ATCC:51666,DSM 9886,DSM:9886,NRRL NRS-1210,NRRL:NRS-1210	yes	1	1	1
Brevibacillus fulvus	ATCC BAA-2417,ATCC:BAA-2417,DSM 25523,DSM:25523,JCM 18162,JCM:18162,K2814,culture-collection:ATCC:BAA:2417	yes	0	0	0
Brevibacillus gelatini	DSM 100115,DSM:100115,NCCB 100559,NCCB:100559,PDF4	yes	1	1	1
Brevibacillus ginsengisoli	BCCM/LMG:23403,Gsoil 3088,KCTC 13938,KCTC:13938,LMG 23403,LMG:23403	yes	0	0	0
Brevibacillus halotolerans	ACCC 06527,ACCC:06527,JCM 30849,JCM:30849,LAM0312	yes	1	0	0
Brevibacillus invocatus	B2156,BCCM/LMG:18962,CIP 106911,CIP:106911,JCM 12215,JCM:12215,LMG 18962,LMG:18962,NCIMB 13772,NCIMB:13772	yes	1	1	1
Brevibacillus laterosporus	ATCC 4517,ATCC 64,ATCC 8248,ATCC:4517,ATCC:64,ATCC:8248,BCCM/LMG:16000,BCCM/LMG:6931,BCRC 10607,BCRC:10607,CCM 2116,CCM:2116,CCRC 10607,CCRC:10607,CCUG 7421,CCUG:7421,CFBP 4222,CFBP:4222,CIP 52.83,CIP:52.83,DSM 25,DSM:25,HAMBI 1882,HAMBI:1882,IAM 12465,IAM:12465,IFO 15654,IFO:15654,JCM 2496,JCM:2496,LMG 16000,LMG 6931,LMG:16000,LMG:6931,NBRC 15654,NBRC:15654,NCCB 48016,NCCB 75013,NCCB:48016,NCCB:75013,NCDO 1763,NCDO:1763,NCIB 8213,NCIB 9367,NCIMB 8213,NCIMB 9367,NCIMB:8213,NCIMB:9367,NCTC 2613,NCTC 6357,NCTC:2613,NCTC:6357,NRRL NRS-314,NRRL NRS-340,NRRL:NRS-314,NRRL:NRS-340,VKM B-499,VKM:B-499,culture-collection:NRRL:NRS:314,culture-collection:NRRL:NRS:340,culture-collection:VKM:B:499	yes	23	2	2
Brevibacillus levickii	BCCM/LMG:22481,CIP 108307,CIP:108307,LMG 22481,LMG:22481,Logan B-1657	yes	0	0	0
Brevibacillus limnophilus	DSM 6472,DSM:6472,NRRL NRS-887,NRRL:NRS-887,culture-collection:NRRL:NRS:887	yes	0	0	0
Brevibacillus massiliensis	CSUR:P177,DSM 25447,DSM:25447,culture-collection:CSUR P177,phR	yes	2	1	1
Brevibacillus nitrificans	DA2,JCM 15774,JCM:15774,NCIMB 14531,NCIMB:14531	yes	1	1	1
Brevibacillus panacihumi	DCY35,JCM 15085,JCM:15085,KCTC 13206,KCTC:13206	yes	2	1	1
Brevibacillus parabrevis	ATCC 10027,ATCC:10027,BCCM/LMG:15971,CIP 103840,CIP:103840,DSM 8376,DSM:8376,IFO 12334,IFO:12334,JCM 8506,JCM:8506,LMG 15971,LMG:15971,NBRC 12334,NBRC:12334,NCIMB 13346,NCIMB:13346,NRRL NRS-605,NRRL NRS-815,NRRL:NRS-605,NRRL:NRS-815,culture-collection:NRRL:NRS:605,culture-collection:NRRL:NRS:815	yes	3	2	2
Brevibacillus porteri	KACC 19693,KACC:19693,NRRL B-41110,NRRL:B-41110	yes	1	1	1
Brevibacillus reuszeri	ATCC 51665,ATCC:51665,BCCM/LMG:16012,CIP 104543,CIP:104543,DSM 9887,DSM:9887,H.W. Reuszer Army 39,H.W. Reuszer Army strain 39,IFO 15719,IFO:15719,JCM 9170,JCM:9170,LMG 16012,LMG:16012,NBRC 15719,NBRC:15719,NRRL NRS-1206,NRRL:NRS-1206,culture-collection:NRRL:NRS:1206	yes	3	2	2
Brevibacillus schisleri	ATCC 35690,ATCC:35690,BCCM/LMG:17055,LMG 17055,LMG:17055	no	0	0	0
Brevibacillus sediminis	CPCC 100738,CPCC:100738,DSM 29928,DSM:29928,JCM 30638,JCM:30638,YIM 78300,YIM:78300	yes	0	0	0
Brevibacillus thermoruber	BCCM/LMG:16910,BT2,CIP 105255,CIP 105298,CIP:105255,CIP:105298,DSM 7064,DSM:7064,HAMBI 2105,HAMBI:2105,LMG 16910,LMG:16910,MIM 30.8.38,MIM:30.8.38	yes	2	0	0
Brevibacterium album	CCTCC AB 206112,CCTCC:AB 206112,DSM 18261,DSM:18261,JCM 15617,JCM:15617,KCTC 19173,KCTC:19173,YIM 90718,YIM:90718,culture-collection:CCTCC:AB:206112	yes	1	1	1
Brevibacterium ammoniilyticum	A1,JCM 17537,JCM:17537,KACC 15558,KACC:15558,KEMC 41-098,KEMC:41-098	yes	0	0	0
Brevibacterium anseongense	BCCM/LMG:30331,Gsoil 188,KACC 19439,KACC:19439,LMG 30331,LMG:30331	yes	0	0	0
Brevibacterium antiquum	BCCM/LMG:22206,JCM 13317,JCM:13317,LMG 22206,LMG:22206,UCM Ac-411,UCM:Ac:411,VKM Ac-2118,VKM:Ac:2118	yes	2	0	0
Brevibacterium aurantiacum	ATCC 9175,ATCC:9175,BCCM/LMG:22546,JCM 2590,JCM:2590,LMG 22546,LMG:22546,NCDO 739,NCDO:739,NCIMB 8546,NCIMB:8546,VKM Ac-2111,VKM:Ac:2111	yes	29	1	1
Brevibacterium avium	CCUG 43455,CCUG:43455,CIP 106532,CIP:106532,DSM 15880,DSM:15880,JCM 11680,JCM:11680,NCIMB 703055,NCIMB:703055	no	0	0	0
Brevibacterium casei	ATCC 35513,ATCC:35513,BCRC 12214,BCRC:12214,CCM 4100,CCM:4100,CCRC 12214,CCRC:12214,CCUG 29001,CCUG:29001,CIP 102111,CIP:102111,DSM 20657,DSM:20657,IFO 14812,IFO:14812,IMET 10997,IMET:10997,JCM 2594,JCM:2594,KCTC 3082,KCTC 3085,KCTC:3082,KCTC:3085,NBRC 14812,NBRC:14812,NCDO 2048,NCDO:2048,NCIMB 702048,NCIMB:702048,VKM Ac-2114,VKM:Ac:2114	yes	12	1	1
Brevibacterium celere	ATCC BAA-809,ATCC:BAA-809,DSM 15453,DSM:15453,JCM 13521,JCM:13521,KMM 3637,KMM:3637,culture-collection:ATCC:BAA:809	yes	1	0	0
Brevibacterium daeguense	2C6-41,JCM 17458,JCM:17458,KCTC 19800,KCTC:19800	yes	0	0	0
Brevibacterium epidermidis	ATCC 35514,ATCC:35514,BCRC 12215,BCRC:12215,CCM 4098,CCM:4098,CCRC 12215,CCRC:12215,CCUG 30540,CCUG:30540,CIP 102110,CIP:102110,DSM 20660,DSM:20660,IFO 14811,IFO:14811,IMET 10998,IMET:10998,JCM 2593,JCM:2593,KCTC 3090,KCTC:3090,NBRC 14811,NBRC:14811,NCDO 2286,NCDO:2286,NCIMB 702286,NCIMB:702286,NCTC 12997,NCTC:12997,VKM Ac-2108,VKM:Ac:2108	yes	2	1	1
Brevibacterium hankyongi	BCCM/LMG:29562,BS05,KACC 18875,KACC:18875,LMG 29562,LMG:29562	yes	0	0	0
Brevibacterium ihuae	CSUR:P1577,culture-collection:CSUR P1577,cv3	yes	1	1	1
Brevibacterium iodinum	ATCC 49514,ATCC:49514,BCRC 12216,BCRC:12216,CCRC 12216,CCRC:12216,DSM 20626,DSM:20626,IFO 15230,IFO:15230,IMET 10995,IMET:10995,JCM 2591,JCM:2591,KCTC 3083,KCTC:3083,NBRC 15230,NBRC:15230,NCDO 613,NCDO:613,NCIMB 700613,NCIMB:700613,NCTC 12955,NCTC:12955,NRRL B-1717,NRRL:B-1717,VKM Ac-2106,VKM:Ac:2106,culture-collection:NRRL:B:1717	yes	2	1	1
Brevibacterium jeotgali	DSM 29217,DSM:29217,JCM 18571,JCM:18571,KACC 16911,KACC:16911,SJ5-8	yes	2	2	2
Brevibacterium linens	ATCC 9172,ATCC:9172,CIP 101125,CIP:101125,DSM 20425,DSM:20425,HAMBI 2038,HAMBI:2038,IFO 12142,IFO:12142,JCM 1327,JCM:1327,NBRC 12142,NBRC:12142,NRRL B-4210,NRRL:B-4210,VKM Ac-2112,VKM:Ac:2112,culture-collection:NRRL:B:4210	yes	7	2	2
Brevibacterium luteolum	CCUG 46604,CCUG:46604,CF87,DSM 15022,DSM:15022,JCM 12367,JCM:12367	yes	4	1	1
Brevibacterium marinum	DSM 18964,DSM:18964,HFW-26,JBRI 2001,JBRI:2001,JCM 15618,JCM:15618,KCTC 19221,KCTC:19221	yes	1	1	1
Brevibacterium mcbrellneri	ATCC 49030,ATCC:49030,CCUG 37313,CCUG:37313,DSM 9583,DSM:9583,E2cr,JCM 11682,JCM:11682	yes	1	1	1
Brevibacterium metallicus	BCCM/LMG:8673,CCBAU 101093,CCBAU:101093,HAMBI 3627,HAMBI:3627,LMG 8673,LMG:8673,NM2E3	yes	0	0	0
Brevibacterium oceani	BBH7,BCCM/LMG:23457,IAM 15353,IAM:15353,JCM 21798,JCM:21798,LMG 23457,LMG:23457	yes	1	1	1
Brevibacterium otitidis	A37/73,ATCC 700348,ATCC:700348,CCUG 37257,CCUG:37257,CIP 105044,CIP:105044,DSM 10718,DSM:10718,JCM 11683,JCM:11683,NCFB 3053,NCFB:3053,NCIMB 703053,NCIMB:703053	yes	0	0	0
Brevibacterium paucivorans	BCCM/LMG:19814,CCUG 45688,CCUG:45688,CF62,DSM 13657,DSM:13657,JCM 11567,JCM:11567,LMG 19814,LMG:19814	no	1	0	0
Brevibacterium permense	BCCM/LMG:22207,JCM 13318,JCM:13318,LMG 22207,LMG:22207,UCM Ac-413,UCM:Ac:413,VKM Ac-2280,VKM:Ac:2280	yes	1	1	1
Brevibacterium picturae	BCCM/LMG:22061,DSM 16132,DSM:16132,JCM 13319,JCM:13319,LMG 22061,LMG:22061	yes	0	0	0
Brevibacterium pityocampae	DSM 21720,DSM:21720,JCM 17808,JCM:17808,NCCB 100255,NCCB:100255,Tp12	yes	0	0	0
